2018_12_13_19:09:32 7 [tesla,reboot,root] [tesla,tesla1,tesla2,tesla3,tesla4] [tesla_:0_tty1]
2018_12_13_19:17:26 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:17:31 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:17:35 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:17:39 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:17:43 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:17:47 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:17:51 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:17:55 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:17:59 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:03 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:08 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:12 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:16 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:20 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:24 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:28 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:32 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:36 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:41 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:45 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:49 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:53 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:18:57 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:01 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:05 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
