2018_12_13_19:09:00 7 [tesla,reboot,root] [tesla,tesla1,tesla2,tesla3,tesla4] [tesla_:0_tty1]
2018_12_13_19:13:51 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:13:55 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:13:59 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:03 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:08 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:12 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:16 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:20 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:24 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:28 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:32 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:36 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:41 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:45 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:49 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:53 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:14:57 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:01 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:05 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:09 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:14 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:18 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:22 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:26 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:30 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:34 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:38 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:42 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:47 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:51 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:55 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:15:59 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:03 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:07 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:11 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:15 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:20 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:24 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:28 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:32 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:36 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:40 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:44 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:48 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:52 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
2018_12_13_19:16:56 82 [zhushuo,Daniel,wyz20828] [pi] [Daniel18:04pts/0,wyz20828219:08pts/1,Tesla19:10pts/2]
